,date,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,Sentiment_Label
0,2021-02-01,0.1358375,0.046125,0.025750000000000002,0.928125,positive
1,2021-02-02,0.37475,0.10925000000000001,0.01925,0.8715,positive
2,2021-02-03,0.5017375,0.14025,0.013000000000000001,0.846625,positive
3,2021-02-04,0.18578750000000002,0.065125,0.023125,0.9117500000000001,positive
4,2021-02-05,0.3865180555555556,0.1564297839506173,0.01884182098765432,0.8247391975308642,positive
5,2021-02-06,0.30806249495357285,0.13684214775938636,0.023784012918853452,0.8393782801776342,positive
6,2021-02-07,0.11644373101952278,0.08006290672451193,0.028659869848156185,0.8912780911062907,positive
7,2021-02-08,0.13782644825341725,0.08486309394662617,0.025544152744630073,0.8895923193751357,positive
8,2021-02-09,0.13440897136177674,0.08917445938047924,0.02810227936879018,0.8827229690239625,positive
9,2021-02-10,0.15729103321033208,0.09451070110701108,0.031556457564575646,0.8739402214022141,positive
10,2021-02-11,0.41007777777777776,0.12955555555555553,0.011333333333333332,0.8591111111111112,positive
11,2021-02-12,0.32897999999999994,0.13069999999999998,0.027100000000000003,0.8423,positive
12,2021-02-13,0.13851491891891893,0.09093297297297297,0.033592432432432436,0.8754778378378378,positive
13,2021-02-14,0.13894653250773994,0.09135479876160991,0.029474613003095975,0.8791752321981424,positive
14,2021-02-15,0.20972650065530798,0.10923197903014417,0.023864744429882043,0.8669103538663171,positive
15,2021-02-16,0.2454375,0.0875,0.023125,0.8895,positive
16,2021-02-17,0.32312,0.0814,0.0098,0.9087999999999999,positive
17,2021-02-18,0.1498899829254411,0.09073762094479225,0.02809447922595333,0.8811718838929995,positive
18,2021-02-19,0.1338939017660044,0.09408140176600442,0.03460430463576159,0.8713184326710817,positive
19,2021-02-20,0.0,0.0,0.0,1.0,neutral
20,2021-02-21,0.40371666666666667,0.1195,0.04683333333333334,0.8338333333333333,positive
21,2021-02-22,0.14996598390636431,0.08975566934893928,0.027137161667885882,0.8831115581565472,positive
22,2021-02-23,-0.25065,0.0275,0.07375,0.8987499999999999,negative
23,2021-02-24,0.1650875,0.06887499999999999,0.024625,0.9065,positive
24,2021-02-25,0.19731666666666667,0.09899999999999999,0.04966666666666667,0.8513333333333333,positive
25,2021-02-26,0.08305,0.022833333333333334,0.0,0.9771666666666666,positive
26,2021-02-27,0.24766666666666667,0.063,0.0,0.9369999999999999,positive
27,2021-02-28,0.07718085758039817,0.08184609494640123,0.04960030627871363,0.8685612557427258,positive
28,2021-03-01,0.5507857142857143,0.18457142857142858,0.018142857142857145,0.7974285714285714,positive
29,2021-03-02,0.31871666666666665,0.10000000000000002,0.022333333333333334,0.8778333333333334,positive
30,2021-03-03,0.2970333333333333,0.10366666666666667,0.036000000000000004,0.8603333333333333,positive
31,2021-03-04,0.42595000000000005,0.10500000000000001,0.0,0.895,positive
32,2021-03-05,0.23744285714285715,0.07557142857142858,0.03671428571428571,0.8875714285714286,positive
33,2021-03-06,0.0683,0.01175,0.0,0.98825,positive
34,2021-03-07,0.2526333333333333,0.051,0.0,0.949,positive
35,2021-03-08,0.23775,0.13066666666666668,0.06516666666666666,0.8038333333333334,positive
36,2021-03-09,0.19319999999999998,0.06659999999999999,0.034999999999999996,0.8986000000000001,positive
37,2021-03-10,0.24372,0.0716,0.018,0.9103999999999999,positive
38,2021-03-11,0.1700284023668639,0.10518343195266272,0.030360946745562133,0.8644674556213018,positive
39,2021-03-12,0.1351399457443201,0.08863004408273992,0.03149101390301797,0.8798799593082401,positive
40,2021-03-13,0.0516,0.096,0.089,0.816,positive
41,2021-03-14,0.3253333333333333,0.11966666666666666,0.0,0.8803333333333333,positive
42,2021-03-15,0.406125,0.13325,0.03075,0.836,positive
43,2021-03-16,0.4011,0.11,0.028,0.8614999999999999,positive
44,2021-03-17,0.3134,0.108,0.041,0.851,positive
45,2021-03-18,0.41183333333333333,0.13433333333333333,0.029333333333333333,0.8363333333333333,positive
46,2021-03-19,0.5940333333333333,0.18933333333333333,0.011333333333333334,0.7995,positive
47,2021-03-21,0.2553,0.074,0.0,0.9259999999999999,positive
48,2021-03-22,0.20510000000000003,0.08766666666666667,0.04933333333333333,0.863,positive
49,2021-03-23,0.09444285714285713,0.07771428571428572,0.059857142857142866,0.8624285714285714,positive
50,2021-03-24,0.32539999999999997,0.12766666666666668,0.059,0.8136666666666666,positive
51,2021-03-25,0.2916,0.125,0.0305,0.8445,positive
52,2021-03-26,0.16770000000000002,0.056999999999999995,0.0535,0.8895,positive
53,2021-03-27,0.25,0.14,0.068,0.791,positive
54,2021-03-28,0.32785,0.1075,0.0,0.8925000000000001,positive
55,2021-03-29,0.29355000000000003,0.158,0.0335,0.8085,positive
56,2021-03-31,0.3406,0.106625,0.012875000000000001,0.8805000000000001,positive
57,2021-04-01,0.5587500000000001,0.13825,0.0,0.86175,positive
58,2021-04-02,0.04035,0.052,0.041,0.9071666666666666,neutral
59,2021-04-03,0.21198,0.0736,0.0,0.9263999999999999,positive
60,2021-04-04,0.25723333333333337,0.06633333333333334,0.0,0.9336666666666668,positive
61,2021-04-05,0.11944070967741936,0.06610903225806451,0.028010967741935486,0.905881935483871,positive
62,2021-04-06,0.1353434735315446,0.071391950688905,0.02956889050036258,0.8990431472081218,positive
63,2021-04-07,0.1394785853976532,0.07795241199478488,0.03523728813559322,0.886807366362451,positive
64,2021-04-08,0.1371609375,0.07406882440476191,0.03240736607142857,0.8935230654761904,positive
65,2021-04-09,0.15209399446858948,0.07431884630580798,0.03235124456736468,0.8933322797313314,positive
